#
# National Water Information System
# 2018/03/05
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	parm_nm	fxd_va	fxd_tx
00028	Analyzing agency	83656	Severn-Trent Laboratory - Buffalo: Amherst, NY
00028	Analyzing agency	83660	State University of New York at Cortland, New York
00028	Analyzing agency	83671	Columbia University, New York
00028	Analyzing agency	83713	District Water-Quality Lab, Raleigh, North Carolina
00028	Analyzing agency	83741	North Carolina Dept. of Natural and Economic Resources
00028	Analyzing agency	83742	North Carolina DENR - Shellfish & Sanitation Rec WQ Sxn Lab
00028	Analyzing agency	83751	Mecklenburg Co. Dept. of Environmental Health Lab, NC
00028	Analyzing agency	83841	North Dakota State Laboratory
00028	Analyzing agency	83901	National Testing Laboratory, Water Check Division, Ohio
00028	Analyzing agency	83905	Ohio Environmental Protection Agency, Columbus, Ohio
00028	Analyzing agency	83913	District Water-Quality Lab, Columbus, Ohio
00028	Analyzing agency	83914	District Microbiological Laboratory, Columbus, Ohio
00028	Analyzing agency	83915	City of Columbus, Water Quality Assurance Laboratory, Ohio
00028	Analyzing agency	83920	Severn-Trent Laboratory - North Canton: North Canton, OH
00028	Analyzing agency	84001	Oklahoma Water Resources Board
00028	Analyzing agency	84003	Oklahoma State University
00028	Analyzing agency	84005	Oklahoma State Health Department Radiochemistry Laboratory
00028	Analyzing agency	84007	Oklahoma State Department of Agriculture
00028	Analyzing agency	84009	Association of Central Oklahoma Governments
00028	Analyzing agency	84011	Oklahoma Corporation Commission
00028	Analyzing agency	84013	District Water-Quality Lab, Oklahoma City, Oklahoma
00028	Analyzing agency	84015	Oklahoma Conservation Commission, Oklahoma City, OK
00028	Analyzing agency	84017	Oklahoma Department of Environmental Quality (ODEQ)
00028	Analyzing agency	84041	Oklahoma Geological Survey
00028	Analyzing agency	84042	Oklahoma State Health Department
00028	Analyzing agency	84101	Oregon Graduate Institute, Beaverton, Oregon
00028	Analyzing agency	84113	District Water-Quality Lab, Portland, Oregon
00028	Analyzing agency	84210	Pennsylvania Department of Agriculture Laboratory
00028	Analyzing agency	84213	District Water-Quality Lab, Harrisburg, Pennsylvania
00028	Analyzing agency	84215	Chester County Health Department Lab, PA.
00028	Analyzing agency	84217	Allegheny County Health Dept Laboratory, Pittsburgh, PA
00028	Analyzing agency	84218	Erie County Health Department, Erie, Pennsylvania
00028	Analyzing agency	84220	Severn-Trent Laboratory - Pittsburgh: Pittsburgh, PA
00028	Analyzing agency	84240	City of Philadelphia, PA and USGS
00028	Analyzing agency	84250	Lancaster Laboratories, Lancaster, Pennsylvania
00028	Analyzing agency	84540	South Carolina Water Resources Commission
00028	Analyzing agency	84541	Savannah River Lab, South Carolina
00028	Analyzing agency	84610	URE Project Laboratory, Oak Ridge, TN
00028	Analyzing agency	84642	Michigan State University Microbiology Lab, East Lansing MI
00028	Analyzing agency	84699	Public Entity
00028	Analyzing agency	84710	Severn-Trent Laboratory - Knoxville: Knoxville, TN
00028	Analyzing agency	84813	District Water-Quality Lab, Austin, Texas
00028	Analyzing agency	84820	Severn-Trent Laboratory - Austin: Austin, TX
00028	Analyzing agency	84821	Severn-Trent Laboratory - Corpus Christi: Corpus Christi TX
00028	Analyzing agency	84823	International Boundary Water Commision
00028	Analyzing agency	84833	Guadalupe-Blanco River Authority
00028	Analyzing agency	84913	District Water-Quality Lab, Salt Lake City, Utah
00028	Analyzing agency	85020	Severn-Trent Laboratory - Burlington: Colchester, VT
00028	Analyzing agency	85113	Headquarters Tritium Lab, Reston, Virginia
00028	Analyzing agency	85114	District Water-Quality Lab, Charlottesville, Virginia
00028	Analyzing agency	85115	Univ. of Virginia Dept. of Environmental Sciences Lab
00028	Analyzing agency	85116	Virginia Division of Consolidated Laboratory Services
00028	Analyzing agency	85301	Severn-Trent Laboratory - Richland: Richland, WA
00028	Analyzing agency	85313	District Water-Quality Lab, Tacoma, Washington
00028	Analyzing agency	85315	Cascades Volcano Obs Sediment Analysis Lab, Vancouver, WA
00028	Analyzing agency	85341	AM Test Inc., Washington
00028	Analyzing agency	85342	Municipality of Metropolitan Seattle, Washington
00028	Analyzing agency	85343	Washington State Dept. of Ecology
00028	Analyzing agency	85344	Washington State Dept. of Social and Health Services
00028	Analyzing agency	85345	Analytical Resources Incorporated (Seattle, Washington)
00028	Analyzing agency	85346	Ecology and Environment Inc (Seattle, Washington)
00028	Analyzing agency	85347	International Technology Corporation, Richland, WA
00028	Analyzing agency	85348	Edge Analytical (MTC), Inc.  Burlington, WA
00028	Analyzing agency	85349	Sound Analytical Services, Inc. Fife, WA
00028	Analyzing agency	85350	Inland Environmental Laboratory, Inc. Spokane, WA
00028	Analyzing agency	85351	Frontier Geosciences, Seattle, WA
00028	Analyzing agency	85411	District Water-Quality Lab, Charleston, WV
00028	Analyzing agency	85540	Robert E. Lee and Assoc. Green Bay, WISC.
00028	Analyzing agency	85541	Mayo Clinic, University of Wisconsin
00028	Analyzing agency	85542	University of Wisconsin Extension
00028	Analyzing agency	85543	State Laboratory of Hygiene, Wisconsin
00028	Analyzing agency	85544	Hazelton Laboratories America (Madison, Wisconsin)
00028	Analyzing agency	85547	Milwaukee Metropolitan Sewerage District, Milwaukee, WI
00028	Analyzing agency	85548	Madison Department of Public Health, Madison, WI
00028	Analyzing agency	85550	USGS-Wisconsin District Mercury Lab, Madison, WI
00028	Analyzing agency	85551	University of Wisconsin at Lacrosse, River Studies Center
00028	Analyzing agency	85613	District Water-Quality Lab, Cheyenne, Wyoming
00028	Analyzing agency	85614	Louisville & Jefferson County Metro Sewer District Lab
00028	Analyzing agency	85641	Wyoming Department of Agriculture
00028	Analyzing agency	87213	District Water-Quality Lab, San Juan, Puerto Rico
00028	Analyzing agency	89201	Environment Canada, Qater Quality Br., Burlington, Ontario
00028	Analyzing agency	89202	XRAL Laboratory Services, Don Mills, Ontario, Canada
00028	Analyzing agency	89203	Activation Labs, Ltd, Ancaster, Ontario, Canada
00028	Analyzing agency	89213	Chalk River Nuclear Laboratories, Chalk River, Canada
00028	Analyzing agency	89301	Manitoba Environment, Water Standards Sec., Winnipeg, Man.
00028	Analyzing agency	89401	Saskatchewan Environment, Water Quality Br., Regina, Sask.
00028	Analyzing agency	92001	Univ. of Waterloo, Isotope Lab,Waterloo, Ontario, Canada
00028	Analyzing agency	99001	Private contractor
00028	Analyzing agency	99999	Other
00041	Weather, WMO code	0	Cloudless
00041	Weather, WMO code	1	Partly cloudy
00041	Weather, WMO code	2	Cloudy
00041	Weather, WMO code	3	Overcast
00041	Weather, WMO code	10	Precipitation within sight
00041	Weather, WMO code	13	Ugly, threatening sky
00041	Weather, WMO code	40	Fog
00041	Weather, WMO code	50	Drizzle
00041	Weather, WMO code	51	Slight drizzle, intermittent
00041	Weather, WMO code	52	Slight drizzle, continuous
00041	Weather, WMO code	53	Moderate drizzle, intermittent
00041	Weather, WMO code	54	Moderate drizzle, continuous
00041	Weather, WMO code	55	Thick drizzle, intermittent
00041	Weather, WMO code	56	Thick drizzle, continuous
00041	Weather, WMO code	57	Drizzle and fog
00041	Weather, WMO code	58	Slight or moderate drizzle and rain
00041	Weather, WMO code	59	Thick drizzle and rain
00041	Weather, WMO code	60	Rain
00041	Weather, WMO code	61	Slight rain, intermittent
00041	Weather, WMO code	62	Slight rain, continuous
00041	Weather, WMO code	63	Moderate rain, intermittent
00041	Weather, WMO code	64	Moderate rain, continuous
00041	Weather, WMO code	65	Heavy rain, intermittent
00041	Weather, WMO code	66	Heavy rain, continuous
00041	Weather, WMO code	67	Rain and fog
00041	Weather, WMO code	68	Slight or moderate mixed rain and snow
00041	Weather, WMO code	69	Heavy mixed rain and snow
00041	Weather, WMO code	70	Snow or sleet
00041	Weather, WMO code	71	Slight snow in flakes, intermittent
00041	Weather, WMO code	72	Slight snow in flakes, continuous
00041	Weather, WMO code	73	Moderate snow in flakes, intermittent
00041	Weather, WMO code	74	Moderate snow in flakes, continuous
00041	Weather, WMO code	75	Heavy snow in flakes, intermittent
00041	Weather, WMO code	76	Heavy snow in flakes, continuous
00041	Weather, WMO code	77	Snow and fog
00041	Weather, WMO code	78	Granular snow (frozen drizzle)
00041	Weather, WMO code	79	Ice crystals
00041	Weather, WMO code	80	Shower(s)
00041	Weather, WMO code	81	Slight or moderate rain shower(s)
00041	Weather, WMO code	82	Heavy rain shower(s)
00041	Weather, WMO code	83	Slight or moderate snow shower(s)
00041	Weather, WMO code	84	Heavy snow shower(s)
00041	Weather, WMO code	85	Slight or moderate rain and snow shower(s)
00041	Weather, WMO code	86	Heavy rain and snow shower(s)
00041	Weather, WMO code	87	Granular snow shower(s)
00041	Weather, WMO code	88	Slight or moderate hail or rain and hail shower(s)
00041	Weather, WMO code	89	Heavy hail or rain and hail shower(s)
00041	Weather, WMO code	90	Thunderstorm
00041	Weather, WMO code	93	Slight thunderstorm with rain or snow
00041	Weather, WMO code	94	Slight thunderstorm with hail
00041	Weather, WMO code	95	Moderate thunderstorm with rain or snow
00041	Weather, WMO code	96	Moderate thunderstorm with hail
00041	Weather, WMO code	97	Heavy thunderstorm with rain or snow
00041	Weather, WMO code	99	Heavy thunderstorm with hail
00067	Tide stage	1000	High water slack; wi 3 hrs
00067	Tide stage	1001	High water slack; wi 3 hrs; Max ebb current
00067	Tide stage	1002	High water slack; wi 3 hrs; Max flood current
00067	Tide stage	1010	High water slack; wi 3 hrs; C&GS table
00067	Tide stage	1011	High water slack; wi 3 hrs; C&GS table; Max ebb current
00067	Tide stage	1012	High water slack; wi 3 hrs; C&GS table; Max flood current
00067	Tide stage	1020	High water slack; wi 3 hrs; measured
00067	Tide stage	1021	High water slack; wi 3 hrs; measured; Max ebb current
00067	Tide stage	1022	High water slack; wi 3 hrs; measured; Max flood current
00067	Tide stage	1100	High water slack; wi 2 hrs
00067	Tide stage	1101	High water slack; wi 2 hrs; Max ebb current
00067	Tide stage	1102	High water slack; wi 2 hrs; Max flood current
00067	Tide stage	1110	High water slack; wi 2 hrs; C&GS table
00067	Tide stage	1111	High water slack; wi 2 hrs; C&GS table; Max ebb current
00067	Tide stage	1112	High water slack; wi 2 hrs; C&GS table; Max flood current
00067	Tide stage	1120	High water slack; wi 2 hrs; measured
00067	Tide stage	1121	High water slack; wi 2 hrs; measured; Max ebb current
00067	Tide stage	1122	High water slack; wi 2 hrs; measured; Max flood current
00067	Tide stage	1200	High water slack; wi 1 hr
00067	Tide stage	1201	High water slack; wi 1 hr; Max ebb current
00067	Tide stage	1202	High water slack; wi 1 hr; Max flood current
00067	Tide stage	1210	High water slack; wi 1 hr; C&GS table
00067	Tide stage	1211	High water slack; wi 1 hr; C&GS table; Max ebb current
00067	Tide stage	1212	High water slack; wi 1 hr; C&GS table; Max flood current
00067	Tide stage	1220	High water slack; wi 1 hr; measured
00067	Tide stage	1221	High water slack; wi 1 hr; measured; Max ebb current
00067	Tide stage	1222	High water slack; wi 1 hr; measured; Max flood current
00067	Tide stage	1300	High water slack; wi 40 min
00067	Tide stage	1301	High water slack; wi 40 min; Max ebb current
00067	Tide stage	1302	High water slack; wi 40 min; Max flood current
00067	Tide stage	1310	High water slack; wi 40 min; C&GS table
00067	Tide stage	1311	High water slack; wi 40 min; C&GS table; Max ebb current
00067	Tide stage	1312	High water slack; wi 40 min; C&GS table; Max flood current
00067	Tide stage	1320	High water slack; wi 40 min; measured
00067	Tide stage	1321	High water slack; wi 40 min; measured; Max ebb current
00067	Tide stage	1322	High water slack; wi 40 min; measured; Max flood current
00067	Tide stage	1400	High water slack; wi 20 min
00067	Tide stage	1401	High water slack; wi 20 min; Max ebb current
00067	Tide stage	1402	High water slack; wi 20 min; Max flood current
00067	Tide stage	1410	High water slack; wi 20 min; C&GS table
00067	Tide stage	1411	High water slack; wi 20 min; C&GS table; Max ebb current
00067	Tide stage	1412	High water slack; wi 20 min; C&GS table; Max flood current
00067	Tide stage	1420	High water slack; wi 20 min; measured
00067	Tide stage	1421	High water slack; wi 20 min; measured; Max ebb current
00067	Tide stage	1422	High water slack; wi 20 min; measured; Max flood current
00067	Tide stage	1500	High water slack; wi 10 min
00067	Tide stage	1501	High water slack; wi 10 min; Max ebb current
00067	Tide stage	1502	High water slack; wi 10 min; Max flood current
00067	Tide stage	1510	High water slack; wi 10 min; C&GS table
00067	Tide stage	1511	High water slack; wi 10 min; C&GS table; Max ebb current
00067	Tide stage	1512	High water slack; wi 10 min; C&GS table; Max flood current
00067	Tide stage	1520	High water slack; wi 10 min; measured
00067	Tide stage	1521	High water slack; wi 10 min; measured; Max ebb current
00067	Tide stage	1522	High water slack; wi 10 min; measured; Max flood current
00067	Tide stage	1600	High water slack; wi 5 min
00067	Tide stage	1601	High water slack; wi 5 min; Max ebb current
00067	Tide stage	1602	High water slack; wi 5 min; Max flood current
00067	Tide stage	1610	High water slack; wi 5 min; C&GS table
00067	Tide stage	1611	High water slack; wi 5 min; C&GS table; Max ebb current
00067	Tide stage	1612	High water slack; wi 5 min; C&GS table; Max flood current
00067	Tide stage	1620	High water slack; wi 5 min; measured
00067	Tide stage	1621	High water slack; wi 5 min; measured; Max ebb current
00067	Tide stage	1622	High water slack; wi 5 min; measured; Max flood current
00067	Tide stage	2000	Ebb current; wi 3 hrs
00067	Tide stage	2001	Ebb current; wi 3 hrs; Max ebb current
00067	Tide stage	2002	Ebb current; wi 3 hrs; Max flood current
00067	Tide stage	2010	Ebb current; wi 3 hrs; C&GS table
00067	Tide stage	2011	Ebb current; wi 3 hrs; C&GS table; Max ebb current
00067	Tide stage	2012	Ebb current; wi 3 hrs; C&GS table; Max flood current
00067	Tide stage	2020	Ebb current; wi 3 hrs; measured
00067	Tide stage	2021	Ebb current; wi 3 hrs; measured; Max ebb current
00067	Tide stage	2022	Ebb current; wi 3 hrs; measured; Max flood current
00067	Tide stage	2100	Ebb current; wi 2 hrs
00067	Tide stage	2101	Ebb current; wi 2 hrs; Max ebb current
00067	Tide stage	2102	Ebb current; wi 2 hrs; Max flood current
00067	Tide stage	2110	Ebb current; wi 2 hrs; C&GS table
00067	Tide stage	2111	Ebb current; wi 2 hrs; C&GS table; Max ebb current
00067	Tide stage	2112	Ebb current; wi 2 hrs; C&GS table; Max flood current
00067	Tide stage	2120	Ebb current; wi 2 hrs; measured
00067	Tide stage	2121	Ebb current; wi 2 hrs; measured; Max ebb current
00067	Tide stage	2122	Ebb current; wi 2 hrs; measured; Max flood current
00067	Tide stage	2200	Ebb current; wi 1 hr
00067	Tide stage	2201	Ebb current; wi 1 hr; Max ebb current
00067	Tide stage	2202	Ebb current; wi 1 hr; Max flood current
00067	Tide stage	2210	Ebb current; wi 1 hr; C&GS table
00067	Tide stage	2211	Ebb current; wi 1 hr; C&GS table; Max ebb current
00067	Tide stage	2212	Ebb current; wi 1 hr; C&GS table; Max flood current
00067	Tide stage	2220	Ebb current; wi 1 hr; measured
00067	Tide stage	2221	Ebb current; wi 1 hr; measured; Max ebb current
00067	Tide stage	2222	Ebb current; wi 1 hr; measured; Max flood current
00067	Tide stage	2300	Ebb current; wi 40 min
00067	Tide stage	2301	Ebb current; wi 40 min; Max ebb current
00067	Tide stage	2302	Ebb current; wi 40 min; Max flood current
00067	Tide stage	2310	Ebb current; wi 40 min; C&GS table
00067	Tide stage	2311	Ebb current; wi 40 min; C&GS table; Max ebb current
00067	Tide stage	2312	Ebb current; wi 40 min; C&GS table; Max flood current
00067	Tide stage	2320	Ebb current; wi 40 min; measured
00067	Tide stage	2321	Ebb current; wi 40 min; measured; Max ebb current
00067	Tide stage	2322	Ebb current; wi 40 min; measured; Max flood current
00067	Tide stage	2400	Ebb current; wi 20 min
00067	Tide stage	2401	Ebb current; wi 20 min; Max ebb current
00067	Tide stage	2402	Ebb current; wi 20 min; Max flood current
00067	Tide stage	2410	Ebb current; wi 20 min; C&GS table
00067	Tide stage	2411	Ebb current; wi 20 min; C&GS table; Max ebb current
00067	Tide stage	2412	Ebb current; wi 20 min; C&GS table; Max flood current
00067	Tide stage	2420	Ebb current; wi 20 min; measured
00067	Tide stage	2421	Ebb current; wi 20 min; measured; Max ebb current
00067	Tide stage	2422	Ebb current; wi 20 min; measured; Max flood current
00067	Tide stage	2500	Ebb current; wi 10 min
00067	Tide stage	2501	Ebb current; wi 10 min; Max ebb current
00067	Tide stage	2502	Ebb current; wi 10 min; Max flood current
00067	Tide stage	2510	Ebb current; wi 10 min; C&GS table
00067	Tide stage	2511	Ebb current; wi 10 min; C&GS table; Max ebb current
00067	Tide stage	2512	Ebb current; wi 10 min; C&GS table; Max flood current
00067	Tide stage	2520	Ebb current; wi 10 min; measured
00067	Tide stage	2521	Ebb current; wi 10 min; measured; Max ebb current
00067	Tide stage	2522	Ebb current; wi 10 min; measured; Max flood current
00067	Tide stage	2600	Ebb current; wi 5 min
00067	Tide stage	2601	Ebb current; wi 5 min; Max ebb current
00067	Tide stage	2602	Ebb current; wi 5 min; Max flood current
00067	Tide stage	2610	Ebb current; wi 5 min; C&GS table
00067	Tide stage	2611	Ebb current; wi 5 min; C&GS table; Max ebb current
00067	Tide stage	2612	Ebb current; wi 5 min; C&GS table; Max flood current
00067	Tide stage	2620	Ebb current; wi 5 min; measured
00067	Tide stage	2621	Ebb current; wi 5 min; measured; Max ebb current
00067	Tide stage	2622	Ebb current; wi 5 min; measured; Max flood current
00067	Tide stage	3000	Low water slack; wi 3 hrs
00067	Tide stage	3001	Low water slack; wi 3 hrs; Max ebb current
00067	Tide stage	3002	Low water slack; wi 3 hrs; Max flood current
00067	Tide stage	3010	Low water slack; wi 3 hrs; C&GS table
00067	Tide stage	3011	Low water slack; wi 3 hrs; C&GS table; Max ebb current
00067	Tide stage	3012	Low water slack; wi 3 hrs; C&GS table; Max flood current
00067	Tide stage	3020	Low water slack; wi 3 hrs; measured
00067	Tide stage	3021	Low water slack; wi 3 hrs; measured; Max ebb current
00067	Tide stage	3022	Low water slack; wi 3 hrs; measured; Max flood current
00067	Tide stage	3100	Low water slack; wi 2 hrs
00067	Tide stage	3101	Low water slack; wi 2 hrs; Max ebb current
00067	Tide stage	3102	Low water slack; wi 2 hrs; Max flood current
00067	Tide stage	3110	Low water slack; wi 2 hrs; C&GS table
00067	Tide stage	3111	Low water slack; wi 2 hrs; C&GS table; Max ebb current
00067	Tide stage	3112	Low water slack; wi 2 hrs; C&GS table; Max flood current
00067	Tide stage	3120	Low water slack; wi 2 hrs; measured
00067	Tide stage	3121	Low water slack; wi 2 hrs; measured; Max ebb current
00067	Tide stage	3122	Low water slack; wi 2 hrs; measured; Max flood current
00067	Tide stage	3200	Low water slack; wi 1 hr
00067	Tide stage	3201	Low water slack; wi 1 hr; Max ebb current
00067	Tide stage	3202	Low water slack; wi 1 hr; Max flood current
00067	Tide stage	3210	Low water slack; wi 1 hr; C&GS table
00067	Tide stage	3211	Low water slack; wi 1 hr; C&GS table; Max ebb current
00067	Tide stage	3212	Low water slack; wi 1 hr; C&GS table; Max flood current
00067	Tide stage	3220	Low water slack; wi 1 hr; measured
00067	Tide stage	3221	Low water slack; wi 1 hr; measured; Max ebb current
00067	Tide stage	3222	Low water slack; wi 1 hr; measured; Max flood current
00067	Tide stage	3300	Low water slack; wi 40 min
00067	Tide stage	3301	Low water slack; wi 40 min; Max ebb current
00067	Tide stage	3302	Low water slack; wi 40 min; Max flood current
00067	Tide stage	3310	Low water slack; wi 40 min; C&GS table
00067	Tide stage	3311	Low water slack; wi 40 min; C&GS table; Max ebb current
00067	Tide stage	3312	Low water slack; wi 40 min; C&GS table; Max flood current
00067	Tide stage	3320	Low water slack; wi 40 min; measured
00067	Tide stage	3321	Low water slack; wi 40 min; measured; Max ebb current
00067	Tide stage	3322	Low water slack; wi 40 min; measured; Max flood current
00067	Tide stage	3400	Low water slack; wi 20 min
00067	Tide stage	3401	Low water slack; wi 20 min; Max ebb current
00067	Tide stage	3402	Low water slack; wi 20 min; Max flood current
00067	Tide stage	3410	Low water slack; wi 20 min; C&GS table
00067	Tide stage	3411	Low water slack; wi 20 min; C&GS table; Max ebb current
00067	Tide stage	3412	Low water slack; wi 20 min; C&GS table; Max flood current
00067	Tide stage	3420	Low water slack; wi 20 min; measured
00067	Tide stage	3421	Low water slack; wi 20 min; measured; Max ebb current
00067	Tide stage	3422	Low water slack; wi 20 min; measured; Max flood current
00067	Tide stage	3500	Low water slack; wi 10 min
00067	Tide stage	3501	Low water slack; wi 10 min; Max ebb current
00067	Tide stage	3502	Low water slack; wi 10 min; Max flood current
00067	Tide stage	3510	Low water slack; wi 10 min; C&GS table
00067	Tide stage	3511	Low water slack; wi 10 min; C&GS table; Max ebb current
00067	Tide stage	3512	Low water slack; wi 10 min; C&GS table; Max flood current
00067	Tide stage	3520	Low water slack; wi 10 min; measured
00067	Tide stage	3521	Low water slack; wi 10 min; measured; Max ebb current
00067	Tide stage	3522	Low water slack; wi 10 min; measured; Max flood current
00067	Tide stage	3600	Low water slack; wi 5 min
00067	Tide stage	3601	Low water slack; wi 5 min; Max ebb current
00067	Tide stage	3602	Low water slack; wi 5 min; Max flood current
00067	Tide stage	3610	Low water slack; wi 5 min; C&GS table
00067	Tide stage	3611	Low water slack; wi 5 min; C&GS table; Max ebb current
00067	Tide stage	3612	Low water slack; wi 5 min; C&GS table; Max flood current
00067	Tide stage	3620	Low water slack; wi 5 min; measured
00067	Tide stage	3621	Low water slack; wi 5 min; measured; Max ebb current
00067	Tide stage	3622	Low water slack; wi 5 min; measured; Max flood current
00067	Tide stage	4000	Flood current; wi 3 hrs
00067	Tide stage	4001	Flood current; wi 3 hrs; Max ebb current
00067	Tide stage	4002	Flood current; wi 3 hrs; Max flood current
00067	Tide stage	4010	Flood current; wi 3 hrs; C&GS table
00067	Tide stage	4011	Flood current; wi 3 hrs; C&GS table; Max ebb current
00067	Tide stage	4012	Flood current; wi 3 hrs; C&GS table; Max flood current
00067	Tide stage	4020	Flood current; wi 3 hrs; measured
00067	Tide stage	4021	Flood current; wi 3 hrs; measured; Max ebb current
00067	Tide stage	4022	Flood current; wi 3 hrs; measured; Max flood current
00067	Tide stage	4100	Flood current; wi 2 hrs
00067	Tide stage	4101	Flood current; wi 2 hrs; Max ebb current
00067	Tide stage	4102	Flood current; wi 2 hrs; Max flood current
00067	Tide stage	4110	Flood current; wi 2 hrs; C&GS table
00067	Tide stage	4111	Flood current; wi 2 hrs; C&GS table; Max ebb current
00067	Tide stage	4112	Flood current; wi 2 hrs; C&GS table; Max flood current
00067	Tide stage	4120	Flood current; wi 2 hrs; measured
00067	Tide stage	4121	Flood current; wi 2 hrs; measured; Max ebb current
00067	Tide stage	4122	Flood current; wi 2 hrs; measured; Max flood current
00067	Tide stage	4200	Flood current; wi 1 hr
00067	Tide stage	4201	Flood current; wi 1 hr; Max ebb current
00067	Tide stage	4202	Flood current; wi 1 hr; Max flood current
00067	Tide stage	4210	Flood current; wi 1 hr; C&GS table
00067	Tide stage	4211	Flood current; wi 1 hr; C&GS table; Max ebb current
00067	Tide stage	4212	Flood current; wi 1 hr; C&GS table; Max flood current
00067	Tide stage	4220	Flood current; wi 1 hr; measured
00067	Tide stage	4221	Flood current; wi 1 hr; measured; Max ebb current
00067	Tide stage	4222	Flood current; wi 1 hr; measured; Max flood current
00067	Tide stage	4300	Flood current; wi 40 min
00067	Tide stage	4301	Flood current; wi 40 min; Max ebb current
00067	Tide stage	4302	Flood current; wi 40 min; Max flood current
00067	Tide stage	4310	Flood current; wi 40 min; C&GS table
00067	Tide stage	4311	Flood current; wi 40 min; C&GS table; Max ebb current
00067	Tide stage	4312	Flood current; wi 40 min; C&GS table; Max flood current
00067	Tide stage	4320	Flood current; wi 40 min; measured
00067	Tide stage	4321	Flood current; wi 40 min; measured; Max ebb current
00067	Tide stage	4322	Flood current; wi 40 min; measured; Max flood current
00067	Tide stage	4400	Flood current; wi 20 min
00067	Tide stage	4401	Flood current; wi 20 min; Max ebb current
00067	Tide stage	4402	Flood current; wi 20 min; Max flood current
00067	Tide stage	4410	Flood current; wi 20 min; C&GS table
00067	Tide stage	4411	Flood current; wi 20 min; C&GS table; Max ebb current
00067	Tide stage	4412	Flood current; wi 20 min; C&GS table; Max flood current
00067	Tide stage	4420	Flood current; wi 20 min; measured
00067	Tide stage	4421	Flood current; wi 20 min; measured; Max ebb current
00067	Tide stage	4422	Flood current; wi 20 min; measured; Max flood current
00067	Tide stage	4500	Flood current; wi 10 min
00067	Tide stage	4501	Flood current; wi 10 min; Max ebb current
00067	Tide stage	4502	Flood current; wi 10 min; Max flood current
00067	Tide stage	4510	Flood current; wi 10 min; C&GS table
00067	Tide stage	4511	Flood current; wi 10 min; C&GS table; Max ebb current
00067	Tide stage	4512	Flood current; wi 10 min; C&GS table; Max flood current
00067	Tide stage	4520	Flood current; wi 10 min; measured
00067	Tide stage	4521	Flood current; wi 10 min; measured; Max ebb current
00067	Tide stage	4522	Flood current; wi 10 min; measured; Max flood current
00067	Tide stage	4600	Flood current; wi 5 min
00067	Tide stage	4601	Flood current; wi 5 min; Max ebb current
00067	Tide stage	4602	Flood current; wi 5 min; Max flood current
00067	Tide stage	4610	Flood current; wi 5 min; C&GS table
00067	Tide stage	4611	Flood current; wi 5 min; C&GS table; Max ebb current
00067	Tide stage	4612	Flood current; wi 5 min; C&GS table; Max flood current
00067	Tide stage	4620	Flood current; wi 5 min; measured
00067	Tide stage	4621	Flood current; wi 5 min; measured; Max ebb current
00067	Tide stage	4622	Flood current; wi 5 min; measured; Max flood current
00067	Tide stage	5000	Mean tide level; wi 3 hrs
00067	Tide stage	5001	Mean tide level; wi 3 hrs; Max ebb current
00067	Tide stage	5002	Mean tide level; wi 3 hrs; Max flood current
00067	Tide stage	5010	Mean tide level; wi 3 hrs; C&GS table
00067	Tide stage	5011	Mean tide level; wi 3 hrs; C&GS table; Max ebb current
00067	Tide stage	5012	Mean tide level; wi 3 hrs; C&GS table; Max flood current
00067	Tide stage	5020	Mean tide level; wi 3 hrs; measured
00067	Tide stage	5021	Mean tide level; wi 3 hrs; measured; Max ebb current
00067	Tide stage	5022	Mean tide level; wi 3 hrs; measured; Max flood current
00067	Tide stage	5100	Mean tide level; wi 2 hrs
00067	Tide stage	5101	Mean tide level; wi 2 hrs; Max ebb current
00067	Tide stage	5102	Mean tide level; wi 2 hrs; Max flood current
00067	Tide stage	5110	Mean tide level; wi 2 hrs; C&GS table
00067	Tide stage	5111	Mean tide level; wi 2 hrs; C&GS table; Max ebb current
00067	Tide stage	5112	Mean tide level; wi 2 hrs; C&GS table; Max flood current
00067	Tide stage	5120	Mean tide level; wi 2 hrs; measured
00067	Tide stage	5121	Mean tide level; wi 2 hrs; measured; Max ebb current
00067	Tide stage	5122	Mean tide level; wi 2 hrs; measured; Max flood current
00067	Tide stage	5200	Mean tide level; wi 1 hr
00067	Tide stage	5201	Mean tide level; wi 1 hr; Max ebb current
00067	Tide stage	5202	Mean tide level; wi 1 hr; Max flood current
00067	Tide stage	5210	Mean tide level; wi 1 hr; C&GS table
00067	Tide stage	5211	Mean tide level; wi 1 hr; C&GS table; Max ebb current
00067	Tide stage	5212	Mean tide level; wi 1 hr; C&GS table; Max flood current
00067	Tide stage	5220	Mean tide level; wi 1 hr; measured
00067	Tide stage	5221	Mean tide level; wi 1 hr; measured; Max ebb current
00067	Tide stage	5222	Mean tide level; wi 1 hr; measured; Max flood current
00067	Tide stage	5300	Mean tide level; wi 40 min
00067	Tide stage	5301	Mean tide level; wi 40 min; Max ebb current
00067	Tide stage	5302	Mean tide level; wi 40 min; Max flood current
00067	Tide stage	5310	Mean tide level; wi 40 min; C&GS table
00067	Tide stage	5311	Mean tide level; wi 40 min; C&GS table; Max ebb current
00067	Tide stage	5312	Mean tide level; wi 40 min; C&GS table; Max flood current
00067	Tide stage	5320	Mean tide level; wi 40 min; measured
